LPCX,LPCY,LEYEX,LEYEY,LEYEZ,,,true_x,B,iris_x_m,iris_y_m,,,iris_x,iris_y,iris_x_p,iris_y_p
0.32667,0.46877,-0.03655,0.00367,0.58233,,,551.1376,-273.5144,845.1376,447.5144,,42,549.7966269,-269.5239792,550.2023082,-269.8045012
0.32664,0.46877,-0.03655,0.00367,0.58233,,,551.0992,-273.5144,845.0992,447.5144,,43,550.1070036,-269.750404,550.166529,-269.7805665
0.32662,0.46879,-0.03655,0.00367,0.58233,,,551.0736,-273.5288,845.0736,447.5288,,44,550.0840527,-269.7329696,549.9961121,-269.8014456
0.32647,0.46901,-0.03655,0.00367,0.58233,,,550.8816,-273.6872,844.8816,447.6872,,45,549.8946838,-269.7686058,550.2048099,-269.457406
0.3265,0.46898,-0.03655,0.00367,0.58233,,,550.92,-273.6656,844.92,447.6656,,46,550.1702166,-269.3574999,549.5641329,-269.3275684
0.32653,0.46896,-0.03655,0.00367,0.58233,,,550.9584,-273.6512,844.9584,447.6512,,47,549.398923,-269.2212118,549.2195047,-269.9028993
0.32652,0.46894,-0.03655,0.00367,0.58233,,,550.9456,-273.6368,844.9456,447.6368,,48,549.0156285,-269.9434526,550.4095089,-270.8382239
0.32649,0.46901,-0.03655,0.00367,0.58233,,,550.9072,-273.6872,844.9072,447.6872,,49,550.5060266,-271.0716085,550.8294776,-270.9346015
0.32651,0.46903,-0.03655,0.00367,0.58233,,,550.9328,-273.7016,844.9328,447.7016,,50,550.995702,-271.1384599,550.9085288,-271.3468575
0.3265,0.46914,-0.03655,0.00367,0.58233,,,550.92,-273.7808,844.92,447.7808,,51,551.0559665,-271.5956275,551.6783899,-272.7736061
0.32654,0.46912,-0.03655,0.00367,0.58233,,,550.9712,-273.7664,844.9712,447.7664,,52,551.9599656,-273.2762411,552.3157605,-272.8978801
0.32655,0.46913,-0.03655,0.00367,0.58233,,,550.984,-273.7736,844.984,447.7736,,53,552.6740133,-273.3189749,553.6001655,-272.7812423
0.32655,0.46913,-0.03655,0.00367,0.58233,,,550.984,-273.7736,844.984,447.7736,,54,554.1580124,-273.0864509,554.4343041,-272.6790638
0.32665,0.46916,-0.03655,0.00367,0.58233,,,555.112,-273.7952,845.112,447.7952,,55,555.0516944,-272.8964767,554.8252494,-272.5582771
0.32663,0.46913,-0.03655,0.00367,0.58233,,,555.0864,-273.7736,845.0864,447.7736,,56,555.3938387,-272.7028049,555.5149092,-272.1262105
0.32667,0.46919,-0.03655,0.00367,0.58233,,,555.1376,-273.8168,845.1376,447.8168,,57,556.1095904,-272.146477,555.3916003,-271.2355264
0.3267,0.46916,-0.03655,0.00367,0.58233,,,555.176,-273.7952,845.176,447.7952,,58,555.831548,-271.0594748,555.3794336,-271.066654
0.32666,0.46931,-0.03655,0.00367,0.58233,,,555.1248,-273.9032,845.1248,447.9032,,59,555.7219466,-270.8921496,554.7383312,-271.2408119
0.3267,0.46932,-0.03427,0.00345,0.5473,,,555.176,-273.9104,845.176,447.9104,,60,554.8688661,-271.1414473,553.8111545,-271.2594605
0.32676,0.46911,-0.03427,0.00345,0.5473,,,555.2528,-273.7592,845.2528,447.7592,,61,553.7137429,-271.1855289,553.0819094,-271.2154433
0.3269,0.46906,-0.03427,0.00345,0.5473,,,551.432,-273.7232,845.432,447.7232,,62,552.8483319,-271.1479585,551.9667333,-271.8202469
0.32696,0.46909,-0.03427,0.00345,0.5473,,,551.5088,-273.7448,845.5088,447.7448,,63,551.5431633,-271.8976463,550.9658409,-271.7510396
0.32704,0.46907,-0.03427,0.00345,0.5473,,,551.6112,-273.7304,845.6112,447.7304,,64,550.4178527,-271.796844,551.9543577,-271.2422804
0.32684,0.46911,-0.03427,0.00345,0.5473,,,551.3552,-273.7592,845.3552,447.7592,,65,551.7375003,-271.1685713,553.4114383,-271.7925875
0.3269,0.46905,-0.03427,0.00345,0.5473,,,551.432,-273.716,845.432,447.716,,66,553.5553298,-271.8533596,553.977354,-272.3867161
0.32708,0.46926,-0.03427,0.00345,0.5473,,,551.6624,-273.8672,845.6624,447.8672,,67,554.2121956,-272.5624313,554.924004,-271.6308654
0.32703,0.46907,-0.03427,0.00345,0.5473,,,554.5984,-273.7304,845.5984,447.7304,,68,555.3122468,-271.6058197,555.1664018,-270.9062425
0.3271,0.46914,-0.03409,0.00335,0.54522,,,556.688,-273.7808,845.688,447.7808,,69,555.5232136,-270.7304315,556.04828,-271.0820768
0.32714,0.4692,-0.03409,0.00335,0.54522,,,556.7392,-273.824,845.7392,447.824,,70,556.5182484,-270.9820486,556.4824136,-271.8230623
0.32722,0.46906,-0.03409,0.00335,0.54522,,,556.8416,-273.7232,845.8416,447.7232,,71,556.9446593,-271.9042802,555.7185519,-271.6937799
0.32728,0.46918,-0.03553,0.0035,0.56885,,,556.9184,-273.8096,845.9184,447.8096,,72,555.9165603,-271.7296331,553.6199912,-270.3776114
0.3273,0.46928,-0.03553,0.0035,0.56885,,,553.944,-273.8816,845.944,447.8816,,73,553.323068,-270.1220916,552.4232098,-271.2048244
0.3274,0.46927,-0.03553,0.0035,0.56885,,,554.072,-273.8744,846.072,447.8744,,74,551.932359,-271.1826434,552.9942275,-272.5439646
0.32802,0.46881,-0.03461,0.0035,0.55618,,,554.8656,-273.5432,846.8656,447.5432,,75,552.732219,-272.8151607,552.5313886,-271.8002925
0.32915,0.46782,-0.03461,0.0035,0.55618,,,553.312,-272.8304,845.312,446.8304,,76,552.2260993,-271.8527752,553.1598052,-271.6146486
0.32953,0.46745,-0.03461,0.0035,0.55618,,,553.7984,-272.564,845.7984,446.564,,77,553.0557381,-271.6158129,554.1873329,-272.3872965
0.33306,0.46473,-0.03461,0.0035,0.55618,,,556.3168,-270.6056,850.3168,444.6056,,78,554.3271347,-272.5547225,553.3901478,-272.2185303
0.3344,0.46368,-0.03461,0.0035,0.55618,,,553.032,-268.8496,852.032,443.8496,,79,553.3280205,-272.3135038,552.7950227,-272.4147935
0.33485,0.46335,-0.03461,0.0035,0.55618,,,553.608,-268.612,852.608,443.612,,80,552.6180294,-272.5315959,551.7318021,-273.9946921
0.33732,0.46152,-0.03461,0.0035,0.55618,,,556.7696,-267.2944,855.7696,442.2944,,81,551.3638188,-274.426805,550.6971369,-273.5320753
0.33786,0.46124,-0.03461,0.0035,0.55618,,,552.4608,-267.0928,856.4608,442.0928,,82,550.1854776,-273.7713658,549.8618502,-273.0048456
